#nl;fr;picture
tot ziens;au revoir;1
tot weerziens;au revoir;1
goedendag;bonjour;2
dag;bonjour;2
voor;pour
om te;pour
bedankt;merci;3
dank u;merci;3
jou;toi;4
jij;toi;4
ja;oui;5
mij;moi;6
ik;moi;6
nee;non;7
een schrift;un cahier;8
een jongen;un garçon;9
het Frans;le français
een bureau;un bureau;10
een potlood;un crayon;11
het Nederlands;le néerlandais
een bank;un banc;12
een pen;un stylo;13
een leraar;un prof;14
een schoolbord;un tableau;15
een boek;un livre;16
een leerling;un élève;17
een blad papier;une feuille;18
een leerlinge;une élève;19
een woord;un mot;20
een kast;une armoire;21
een meisje;une fille;22
een klas;une classe;23
een stoel;une chaise;24
een gom;une gomme;25
een school;une école;26
Meester Leo;Monsieur Leo;27
een bladzijde;une page;28
een lerares;une prof;29
Juf Leen;Madame Leen;30
