een vriend;un copain;3
een tekst;un texte;2
het Engels;l'Anglais;1
een directeur;un directeur;6
een huiswerk;un devoir;5
een vriendin;une copine;4
een hobby;un loisir;9
een laptop;un portable;8
een directrice;une directrice;7
een mail;un mail;12
een zoen;un bisou;11
een plaats;une place;10
een plein;une place;10
een brief;une lettre;15
Europa;l'Europe;14
verhuizen;déménager;13
een zin;une phrase;18
kennen;connaitre;17
heten;s'appeler;16
een les;une leçon;21
zich herinneren;se souvenir de;20
zeggen;dire;19
Frankrijk;la France;24
ontmoeten;rencontrer;23
ongelooflijk;incroyable;22
volgend;;26
volgend (m);prochain;26
volgend (v);prochaine;26
beste;;25
beste (m);cher;25
beste (v);chère;25
mooi;;28
mooi (m);beau;28
mooi (v);belle;28
sinds;depuis;27
verschillend;;29
verschillend (m);différent;29
verschillend (v);différente;29
