#nl;fr;picture
een zoon;un fils;1
een papa;un papa;2
een dagboek;un journal;3
een man;un homme;4
een echtgenoot;un mari;4
een oom;un oncle;5
een nonkel;un oncle;5
een kind;un enfant;6
een grootouder;un grand-parent;7
een neef;un cousin;8
een grootvader;un grand-père;9
een baby;un bébé;10
een broer;un frère;11
een vader;un père;12
een moeder;une mère;13
ook;aussi;
een deugniet;un filou;14
een mama;une maman;13
een familie;une familie;15
een geschenk;un cadeau;16
een tante;une tante;17
een feest;une fête;18
een ouder;un parent;19
een nicht;une cousine;20
een grootmoeder;une grand-mère;21
een kleinkind;un petit-enfant;22
eten;manger;23
vinden;trouver;24
een zus;une sœur;25
kijken;regarder;26
zoeken;chercher;27
een dochter;une fille;28
te;trop;29
helpen;aider;30
een vrouw;une femme;31
een echtgenote;une femme;31
vandaag;aujourd'hui;31
spreken;parler;33
vertellen;raconter;34
samen;ensemble;35
zaterdag;samedi;36
dinsdag;mardi;37
een dag;un jour;38
zondag;dimanche;39
woensdag;mercredi;40
een maand;un mois;41
een week;une semaine;42
donderdag;jeudi;43
een jaar;une année;44
een verjaardag;un anniversaire;45
vrijdag;vendredi;46
maandag;lundi;47
juni;juin;48
februari;février;49
Nieuwjaar;Le Nouvel An;50
juli;juillet;51
maart;mars;52
Kerstmis;Noël;53
augustus;aout;54
april;avril;55
carnaval;le carnaval;56
september;septembre;57
mei;mai;58
januari;janvier;59
Pasen;Pâques;60
oktober;octobre;61
eerste;;62
eerste (m);premier;62
eerste (v);première;62
november;novembre;63
laatste;;64
laatste (m);dernier;64
laatste (v);dernière;64
december;décembre;65
