een dokter;un docteur;3
een arts;un docteur;3
een siroop;un sirop;2
een zalf;une pommade;1
een verband;un bandage;6
een verkoudheid;un rhume;5
een ziekenwagen;une ambulance;4
een medicijn;un médicament;9
een geneesmiddel;un médicament;9
een ongeval;un accident;8
een pil;une pilule;7
een ziekenhuis;un hôpital;12
een apotheek;une pharmacie;11
een keel;une gorge;10
de koorts;la fièvre;15
breken;se casser;14
moeten;devoir;13
de pijn;la douleur;18
stoppen;s'arrêter;17
opstaan;se lever;16
de hoest;la toux;21
voorschrijven;prescrire;20
weten;savoir;19
vallen;tomber;24
zich kwetsen;se blesser;23
zien;voir;22
ziek;malade;25
omdat;parce que;
tegen;contre;26
volgend;;27
volgend (m);suivant;27
volgend (v);suivante;27
het lichaam;le corps;31
een rug;un dos;29
een oog;un oeil;28
ogen;des yeux;28
een knie;un genou;34
een voet;un pied;33
een hoofd;une tête;32
een buik;un ventre;37
een vinger;un doigt;36
een been;une jambe;35
een arm;un bras;41
een neus;un nez;40
een oor;une oreille;39
een tand;une dent;43
een hand;une main;42
een mond;une bouche;45
een schouder;une épaule;44
