een vliegtuig;un avion;3
een boot;un bateau;2
een bus;un bus;1
een autobus;un bus;1
een trein;un train;6
een tram;un tram;5
een fiets;un vélo;4
een vrachtwagen;un camion;9
een bakfiets;un vélo cargo;8
de metro;le métro;7
het verkeer;le trafic;12
een park;un parc;11
een politieagent;un agent de police;10
een hoek;un coin;33
een rotonde;un rond-point;32
een weg;un chemin;30
een meter;un mètre;34
een kilometer;un kilomètre;60
een plaats;un endroit;61
een plek;un endroit;61
een fietsenstalling;un local vélos;37
een kruispunt;un carrefour;35
een reisweg;un traject;36
een traject;un traject;36
de verkeerslichten;les feux;39
een bushalte;un arrêt de bus;38
een keer;une fois;
een route;une route;36
een plein;une place;44
voorbijgaan;passer;41
tellen;compter;40
verderzetten;continuer;43
iedereen;tout le monde;42
oversteken;traverser;47
verlaten;quitter;46
rechts;;45
rechts (m);droit;45
rechts (v);droite;45
volgen;suivre;50
draaien;tourner;49
links;gauche;48
naar rechts;à droite;53
rechtsaf;à droite;53
naar links;à gauche;55
linksaf;à gauche;55
rechtdoor;tout droit;57
dichtbij;près de;59
ver van;loin de;52
tweede;deuxième;54
derde;troisième;56
vierde;quatrième;58
vijfde;cinquième;51
200;deux cents;
twee honderd;deux cents;
2000;deux mille;
twee duizend;deux mille;
1000000;un million;
een miljoen;un million;
een museum;un musée;15
een auto;une voitur;14
een wagen;une voitur;14
een bibliotheek;une bibliothèque;13
een luchthaven;un aéroport;18
een step;une trottinette;17
een wandeling;une promenade;16
een brug;un pont;21
een motor;une moto;20
een station;une gare;19
naast;à côté de;24
een kerk;une église;23
een gemeentehuis;une mairie;22
rijden;rouler;26
tonen;montrer;25
zich bevinden;se trouver;28
vooruitgaan;avancer;27
wandelen;se promener;30
stappen;marcher;29
