#nl;fr;picture
de melk;le lait;1
een komkommer;un comcombre;2
een groente;un légume;3
de boter;le beurre;4
een brood;un pain;5
een vrucht;un fruit;6
de suiker;le sucre;7
een croissant;un croissant;8
een kiwi;un kiwi;9
de kaas;le fromage;10
een ei;un œuf;11
een champignon;un chamnpignon;12
een sinaasappel;une orange;13
een appel;une pomme;14
de ham;le jambon;15
de hesp;le jambon;15
een tomaat;une tomate;16
een peer;une poire;17
de vis;le poisson;18
een wortel;une carotte;19
de chocolade;le chocolat;21
een aardbei;une fraise;20
een recept;une recetter;24
een banaan;une banane;23
een sla;une salade;22
een salade;une salade;22
een aardappel;une pomme de terre;27
een sneetje;une tranch;26
het water;l'eau;25
water;de l'eau;25
een stokbrood;une baguette;30
het vlees;la viande;29
snijden;couper;28
een taart;une tarte;33
de jam;la confiture;32
schillen;peler;31
een boterham;une tartine;36
de vleeswaren;la charcuterie;35
gieten;verser;34
bakken;cuire;38
toevoegen;ajouter;37
koken;cuisiner;40
heerlijk;;39
heerlijk (m);délicieux;39
heerlijk (v);délicieuse;39
wassen;laver;41
een winkel;un magasin;44
een prijs;un prix;43
een gram;une gramma;42
een supermarkt;un supermarché;47
een euro;un euro;46
een mevrouw;une madame;45
een kilo;un kilo;50
een eurocent;un centime d'euro;49
een cent;un centime;49
een juffrouw;une mademoiselle;48
een mijnheer;un monsieur;53
een kassa;une caisse;52
wegen;peser;51
kopen;acheter;54
verkopen;vendre;55
betalen;payer;56

