een kledingstuk;un vêtement;4
een short;un short;2
een muts;un bonnet;1
een trui;un pull;8
een T-shirt;un T-shirt;6
een modeshow;un défilé;5
een broek;un pantalon;13
een pyjama;un pyjama;11
haar;des cheveux;9
een jeansbroek;un jean;16
een hoed;un chapeau;15
een hemd;une chemise;14
een jurk;une robe;19
een bloes;une blouse;18
sokken;des chaussettes;17
een rok;une jupe;22
schoenen;des chaussures;21
een bril;des lunettes;20
een jas;une veste;25
sportschoenen;des baskets;24
zetten;mettre;23
plaatsten;mettre;23
kledij aandoen;mettre;23
een pet;une casquette;28
laarzen;des bottes;27
dragen;porter;26
geven;donner;30
lang;;29
lang (m);long;29
lang (v);longue;29
aankleden;habiller;32
zich aankleden;s'habiller;32
blond;;31
blond (m);blond;31
blond (v);blonde;31
kort;;34
kort (m);court;34
kort (v);courte;34
ros;;33
ros (m);roux;33
ros (v);rousse;33
