een rapport;un bulletin;3
de angst;la peur;2
verliezen;perdre;1
een gevoel;un sentiment;6
studeren;étudier;5
voelen;sentir;4
een winnaar;un gagnant;9
herhalen;répéter;8
denken aan;penser à;7
denken;penser;7
een doel;un but;12
winnen;gagner;11
verliefd;;10
verliefd (m);amoureux;10
verliefd (v);amoureuse;10
verdrietig;triste;15
moe;fatigué/fatiguée;14
moe (m);fatigué;14
moe (v);fatiguée;14
nieuw;;13
nieuw (m);nouveau;13
nieuw (v);nouvelle;13
blij;;18
blij (m);content;18
blij (v);contente;18
boos;;17
boos (m);fâché;17
boos (v);fâchée;17
ongelukkig;;16
ongelukkig (m);malheureux;16
ongelukkig (v);malheureuse;16
zenuwachtig;;20
zenuwachtig (m);nerveux;20
zenuwachtig (v);nerveuse;20
nieuwsgierig;;19
nieuwsgierig (m);curieux;19
nieuwsgierig (v);curieuse;19
heel;très;
gelukkig;;22
gelukkig (m);heureux;22
gelukkig (v);heureuse;22
tof;chouette;21
