een gsm;un GSM;3
een dierenarts;;2
een dierenarts (m);un vétérinaire;2
een dierenarts (v);une vétérinaire;1
een telefoon;un téléphone;6
een brandweerman;un pompier;5
een brandweervrouw;une pompière;4
een bericht;un message;9
een sms-bericht;un message;9
een boom;un arbre;8
een adres;une adresse;7
een weekend;un week-end;12
een nummer;un numéro;11
een straat;une rue;10
een uur;une heure;15
aankomen;arriver;14
willen;vouloir;13
een ingang;une entrée;48
blijven;rester;17
mogen;pouvoir;16
kunnen;pouvoir;16
een uitgang;une sortie;49
vallen;tomber;19
naar huis gaan;rentrer;18
terug naar huis gaan;rentrer;18
telefoneren;téléphoner;22
telefoneren naar;téléphoner à;22
komen;venir;21
hoog;;20
hoog (m);haut;20
hoog (v);haute;20
welk;;
welk (m);quel;
welk (v);quelle;
welke;;
welke (m);quel;
welke (v);quelle;
daar;là;24
wanneer;quand;23
snel;vite;50
wie;qui;25
waar;où;51
goed;bien;28
wat;;27
hoe;comment;26
slecht;mal;30
waarom;pourquoi;29
een dier;un animal;33
een konijn;un lapin;32
een haan;un coq;31
een paard;un cheval;36
een schaap;un mouton;35
een eend;un canard;34
een hond;un chien;39
een varken;un cochon;38
een vogel;un oiseau;37
een kat;un chat;42
een hamster;un hamster;41
een ezel;un âne;40
een koe;une vache;44
een boerderij;une ferme;43
achter;derrière;52
een geit;une chèvre;45
in;dans;53
voor;devant;54
een kip;une poule;46
onder;sous;55
tussen;entre;56
een schildpad;une tortue;47
op;sur;57
