een muur;un mur;3
een droom;un rêve;2
een bed;un lit;1
een kussen;un coussin;6
een vloer;un sol;5
een zetel;un fauteuil;4
een schilderij;un tableau;9
een plafond;un plafond;8
een tapijt;un tapis;7
een spiegel;un miroir;12
een deur;une porte;11
een tafel;une table;10
een raam;une fenêtre;15
slapen;dormir;14
een dekbed;une couette;13
amuseren;amuser;18
zich amuseren;s'amuser;18
een lamp;une lampe;17
dromen;rêver;16
dromen van;rêver de;16
buitengaan;sortir;21
plakken;coller;20;
uitleggen;expliquer;19
ten eerste;premièrement;24
misschien;peut-être;23
ten tweede;deuxièmement;22
daarbij;en plus;27
boven;au-dessus;26
ten slotte;finalement;25
rond;autour de;28
een appartement;un appartement;31
een garage;un garage;30
een trap;un escalier;29
een salon;un salon;34
een zithoek;un salon;34
een woonkamer;un living;33
een dak;un toit;32
een zolder;un grenier;37
een woonkamer;un séjour;36
een balkon;un balcon;35
een tuin;un jardin;40
een verdieping;un étage;39
een gang;un couloir;38
een buurman;un voisin;47
een keuken;une cuisine;42
een kelder;une cave;41
een gelijkvloers;un rez-de-chaussée;45
een eetkamer;une salle à manger;44
een inkomhal;une entrée;43
een ingang;une entrée;43
een huis;une maison;52
een badkamer;une salle de bains;46
een zwembad;une piscine;53
een kamer;une chambre;49
een slaapkamer;une chambre à coucher;48
een douche;une douche;54
een buurvrouw;une voisine;55
het toilet;les toilettes;50
ruimte in het huis;une pièce;49
