een oefening;un exercice;6
een seizoen;une saison;2
de zomer;l'été;1
een zomer;un été;1
een reis;un voyage;9
de tijd;le temps;8
de herfst;l'automne;7
een herfst;un automne;7
een slot;un verrou;12
de toekomst;le futur;11
de winter;l;hiver;10
een winter;un hiver;10
een herinnering;un souvenir;15
de lente;le printemps;14
het internet;l'internet;13
een koffer;une valise;18
schrijven;écrire;17
verkennen;explorer;16
onderzoeken;explorer;16
bestuderen;explorer;16
chatten;chatter;20
ontcijferen;déchiffrer;19
een dag;une journée;21
de vakantie;les vacances;24
zich herinneren;se souvenir;23
de datum;la date;27
voorspellen;prédire;26
gisteren;hier;25
ontdekken;découvrir;22
niemand;;28
vroeg;tôt;29
na;après;30
niets;;31
onmiddellijk;tout de suite;
voor;avant;32
tot;jusqu'à;33
nooit;jamais;34
al;déjà;
reeds;déjà;
nog;encore;35
niet meer;;36
laat;tard;37
een wekker;un réveil;39
de namiddag;l'après-midi;38
een namiddag;un après-midi;38
een minuut;une minute;53
de middag;le midi;42
een toren;une tour;41
een grote klok;une horloge;40
een uurwerk;une horloge;40
de volgende dag;le lendemain;45
een fout;une faute;44
opstaan;se réveiller;43
middernacht;minuit;48
een middernacht;un minuit;48
een seconde;une seconde;47
beginnen;commencer;46
lopen;courir;50
luiden;sonner;51
bellen;sonner;51
laatste;;52
laatste (m);dernier;52
laatste (v);dernière;52
