#nl;fr;picture
de cinema;le cinéma;1
de bioscoop;le cinéma;1
een grote bal;un ballon;2
een sport;un sport;3
het voetbal;le foot;4
een spel;un jeu;5
een film;un film;6
het hockey;le hockey;7
een cd;un CD;8
een match;un match;9
een wedstrijd;un match;9
het tennis;le tennis;10
een dvd;un DVD;11
een computer;un ordinateur;12
het turnen;la gym;13
een tv;une télé;14
het basketball;le basket;15
de dans;la danse;16
een radio;une radio;17
het fietsen;le vélo;18
houden van;aimer;19
een kleine bal;une balle;20
een kleur;une couleur;21
dansen;danser;16
een lied;une chanson;22
een liedje;une chanson;22
de muziek;la musique;23
blauw;;24
blauw (m);bleu;24
blauw (v);bleue;24
zwemmen;nager;25
tekenen;dessiner;26
rood;;27
rood (m);rouge;27
rood (v);rouge;27
luisteren;écouter;28
lezen;lire;29
geel;;30
geel (m);jaune;30
geel (v);jaune;30
een sport beoefenen;faire du sport;31
spelen;jouer;32
groen;;33
groen (m);vert;33
groen (v);verte;33
favoriet;;34
favoriet (m);favori;34
favoriet (v);favorite;34
lievelings- (m);favori;34
lievelings- (v);favorite;34
zingen;chanter;35
wit;;36
wit (m);blanc;36
wit (v);blanche;36
paars;;37
paars (m);mauve;37
paars (v);mauve;37
grijs;;38
grijs (m);gris;38
grijs (v);grise;38
roze;;39
roze (m);rose;39
roze (v);rose;39
zwart;;40
zwart (m);noir;40
zwart (v);noire;40
oranje;;41
oranje (m);orange;41
oranje (v);orange;41
bruin;;42
bruin (m);brun;42
bruin (v);brune;42
